symbol,name,description,market_cap_basic,close,change,volume,relative_volume_10d_calc,price_earnings_ttm,earnings_per_share_diluted_ttm,dividends_yield_current,sector.tr
DSEBD:NPOLYMER,NPOLYMER,NATIONAL POLYMER INDUSTRIES PLC,2291688180.0,31.4,-3.680981595092033,294419.0,0.6261616154097316,23.404889683959453,1.3416,3.34394904458599,Producer manufacturing
DSEBD:INTRACO,INTRACO,INTRACO REFUELING STATION LTD,2280956500.0,21.5,-1.8264840182648339,1121621.0,0.8091285244422431,18.981195373885406,1.1327,0.465116279069767,Distribution services
DSEBD:AIL,AIL,ALIF INDUSTRIES LTD,2263472781.0,46.5,0.0,593303.0,0.6193017197043944,17.188481868923965,2.7053,1.95503439082912,Consumer non-durables
DSEBD:DSSL,DSSL,DRAGON SWEATER AND SPINNING LTD,2255487991.0,10.7,-0.925925925925939,1910815.0,0.48104969112663115,37.243299686738595,0.2873,0.934579439252337,Consumer non-durables
DSEBD:MLDYEING,MLDYEING,M.L. DYEING LTD,2254609800.0,9.7,-1.0204081632653206,561417.0,0.3362478321835132,42.265795206971674,0.2295,0.0,Process industries
DSEBD:ANWARGALV,ANWARGALV,ANWAR GALVANIZING LTD,2212713084.0,73.3,3.3850493653032316,657288.0,3.7113066770861427,,-3.9193,1.36425648021828,Non-energy minerals
DSEBD:GQBALLPEN,GQBALLPEN,GQ BALL PEN INDUSTRIES LTD,2201666994.0,246.6,2.323651452282155,87861.0,1.1747740664824189,,,0.121654501216545,Producer manufacturing
DSEBD:EIL,EIL,EXPRESS INSURANCE LTD,2197154586.0,33.7,-0.8823529411764622,712921.0,0.3150272219425352,29.245856113859237,1.1523,1.48367952522255,Finance
DSEBD:UTTARAFIN,UTTARAFIN,UTTARA FINANCE & INVESTMENTS LTD,2195741256.0,16.7,-2.33918128654972,32675.0,0.2585599772103218,,,0.0,Finance
DSEBD:SAIHAMCOT,SAIHAMCOT,SAIHAM COTTON MILLS LTD,2186992606.0,14.7,0.0,1521892.0,0.7584521335397081,15.064562410329986,0.9758,3.40136054421769,Process industries
DSEBD:ATLASBANG,ATLASBANG,ATLAS BANGLADESH LTD,2140011225.0000002,64.6,0.7800312012480499,6447.0,0.5479533555449829,,,0.0,Consumer durables
DSEBD:FAREASTLIF,FAREASTLIF,FAREAST ISLAMI LIFE INSURANCE CO LTD,2122694129.9999998,28.4,0.7092198581560258,21458.0,0.4048495917166015,,,0.0,Finance
DSEBD:CENTRALINS,CENTRALINS,CENTRAL INSURANCE CO LTD,2083277180.0,39.2,-3.9215686274509665,173384.0,0.2444401993203261,22.514502326115675,1.7411,3.06122448979592,Finance
DSEBD:LRBDL,LRBDL,LUB-RREF (BANGLADESH) LTD,2062450600.0000002,14.2,0.0,249440.0,1.2281060216287274,,-1.027,0.704225352112676,Process industries
DSEBD:SSSTEEL,SSSTEEL,S.S. STEEL LTD,2058559200.0000002,5.8,0.0,130340.0,0.3175799791577479,316.9398907103825,0.0183,3.44827586206897,Non-energy minerals
DSEBD:SONALIANSH,SONALIANSH,SONALI AANSH INDUSTRIES LTD,2051356800.0,189.1,-2.020725388601039,164911.0,1.6096714400473986,,,0.528820729772607,Process industries
DSEBD:WMSHIPYARD,WMSHIPYARD,WESTERN MARINE SHIPYARD LTD,2046272718.0,8.7,-1.1363636363636525,231337.0,0.6458207591046661,,,0.0,Producer manufacturing
DSEBD:WATACHEM,WATACHEM,WATA CHEMICALS LTD ,2033663211.0,137.2,2.3117076808351933,60645.0,1.4288440605606543,419.571865443425,0.327,0.87463556851312,Process industries
DSEBD:BDFINANCE,BDFINANCE,BANGLADESH FINANCE PLC,2032951720.0,10.8,-2.7027027027026933,96624.0,0.33111786204450516,,,0.0,Finance
DSEBD:KAY&QUE,KAY&QUE,KAY & QUE (BANGLADESH) LTD,2022390060.0,289.2,0.312174817898015,120038.0,0.7231300655791825,150.93157977141067,1.9161,0.101701244813278,Producer manufacturing
DSEBD:QUEENSOUTH,QUEENSOUTH,QUEEN SOUTH TEXTILE MILLS LTD,1999073100.0,13.1,-0.7575757575757549,583601.0,0.6816493784281702,,,1.52671755725191,Process industries
DSEBD:SUNLIFEINS,SUNLIFEINS,SUNLIFE INSURANCE COMPANY LTD,1952533553.0,54.6,3.605313092979124,569892.0,1.4585848482669113,,,0.0915750915750916,Finance
DSEBD:CRYSTALINS,CRYSTALINS,CRYSTAL INSURANCE COMPANY LTD,1944800034.0,44.2,-1.5590200445434204,246211.0,0.5299107478187354,,,2.71493212669683,Finance
DSEBD:GOLDENSON,GOLDENSON,GOLDEN SON LTD,1940546571.0,11.3,-2.586206896551715,920137.0,0.717429179036254,,-1.6242,1.32743362831858,Consumer non-durables
DSEBD:STANDARINS,STANDARINS,STANDARD INSURANCE LTD,1935357727.0,44.7,-2.1881838074398248,134702.0,0.6464185966158306,18.59942578953938,2.4033,2.23713646532438,Finance
DSEBD:ICBIBANK,ICBIBANK,ICB ISLAMIC BANK LTD,1927636648.0,2.9,-3.333333333333336,33849.0,0.11414625855616399,,-1.4245,0.0,Finance
DSEBD:SALAMCRST,SALAMCRST,S. ALAM COLD ROLLED STEELS LTD,1918236477.0,19.5,-1.5151515151515187,649160.0,0.6566599762527734,,,0.0,Non-energy minerals
DSEBD:BEACHHATCH,BEACHHATCH,BEACH HATCHERY LTD,1908586100.0,46.1,-0.6465517241379249,910990.0,0.7748154158491021,13.505595593836057,3.4134,2.16919739696312,Process industries
DSEBD:PHARMAID,PHARMAID,PHARMA AIDS LTD ,1905072000.0,610.6,0.5599472990777301,23573.0,0.6031430062737312,35.88661569113766,17.0147,0.409433344251556,Process industries
DSEBD:EMERALDOIL,EMERALDOIL,EMERALD OIL INDUSTRIES LTD,1898457755.0,20.8,0.0,127251.0,0.7935342897658907,,,0.0,Consumer non-durables
DSEBD:NTC,NTC,NATIONAL TEA CO LTD,1895600777.0,171.6,-1.5490533562822817,4607.0,1.0928974711771127,,,0.0,Consumer non-durables
DSEBD:AGNISYSL,AGNISYSL,AGNI SYSTEMS PLC,1879205504.0,25.9,-1.5209125475285252,1187956.0,0.8322363706088657,19.403655978423732,1.3348,1.85328185328185,Communications
DSEBD:ACFL,ACFL,AMAN COTTON FIBROUS LTD,1875500086.0,18.6,0.0,103934.0,0.4366541805098318,,-0.1906,5.37634408602151,Process industries
DSEBD:AMCLPRAN,AMCLPRAN,AGRICULTURAL MARKETING COMPANY LTD (PRAN),1857600000.0,232.2,-1.6518424396442208,5711.0,0.6314334678533916,43.68110162158094,5.3158,1.37812230835487,Consumer non-durables
DSEBD:RDFOOD,RDFOOD,RANGPUR DAIRY & FOOD PRODUCTS LTD,1838949585.0,23.5,-1.2605042016806753,610624.0,0.6443862298829807,27.856804172593645,0.8436,0.851063829787234,Consumer non-durables
DSEBD:GEMINISEA,GEMINISEA,GEMINI SEA FOOD PLC,1780239840.0,155.0,3.195739014647145,233816.0,2.335201299952959,,-7.1917,0.483870967741935,Consumer non-durables
DSEBD:BNICL,BNICL,BANGLADESH NATIONAL INSURANCE COMPANY LTD,1778850034.0,40.2,-1.4705882352941038,89831.0,0.3758817410457623,9.051403868236777,4.4413,4.97512437810945,Finance
DSEBD:FUWANGCER,FUWANGCER,FU-WANG CERAMIC INDUSTRY LTD,1771498154.0,13.0,-2.255639097744366,1220141.0,1.145395039585718,85.13425016371971,0.1527,1.53846153846154,Producer manufacturing
DSEBD:UNITEDINS,UNITEDINS,UNITED INSURANCE CO LTD,1771099966.0,39.8,-1.4851485148514887,50778.0,0.31709039680324236,17.06982329730657,2.3316,3.76884422110553,Finance
DSEBD:BBS,BBS,BANGLADESH BUILDING SYSTEMS LTD,1759641150.0,10.8,0.0,439802.0,0.5795093641461879,,-0.1531,0.462962962962963,Producer manufacturing
DSEBD:BENGALWTL,BENGALWTL,BENGAL WINDSOR THERMOPLASTICS PLC,1756339230.0,19.2,-0.518134715025914,432035.0,1.0272603782342093,35.13266239707228,0.5465,2.60416666666667,Producer manufacturing
DSEBD:CLICL,CLICL,CHARTERED LIFE INSURANCE PLC,1740000057.0,46.4,-1.6949152542372972,72600.0,0.35606492348527724,1.3188899721725584,35.1811,0.538793103448276,Finance
DSEBD:OIMEX,OIMEX,OIMEX ELECTRODE LTD,1739417657.0,23.8,-1.2448132780083017,560331.0,0.6073140278202285,,,1.26050420168067,Producer manufacturing
DSEBD:BGIC,BGIC,BANGLADESH GENERAL INSURANCE COMPANY PLC,1718066700.0,31.8,-0.6249999999999978,55656.0,0.37960230969753767,,,3.14465408805031,Finance
DSEBD:RAHIMTEXT,RAHIMTEXT,RAHIM TEXTILE MILLS LTD ,1710310144.0,180.8,9.975669099756693,138075.0,1.705760485655304,151.36040184177483,1.1945,0.553097345132743,Process industries
DSEBD:AAMRANET,AAMRANET,AAMRA NETWORKS LTD,1701532170.0,18.3,-0.5434782608695536,77970.0,0.3324225146865774,22.74139430843793,0.8047,5.46448087431694,Communications
DSEBD:MAKSONSPIN,MAKSONSPIN,MAKSONS SPINNING MILLS PLC,1691450931.0,7.1,-2.739726027397263,741045.0,0.9536760370050208,,,0.0,Process industries
DSEBD:NAVANACNG,NAVANACNG,NAVANA CNG LTD,1684826770.0,22.3,0.9049773755656076,84532.0,0.9152843345316016,212.17887725975262,0.1051,4.48430493273543,Utilities
DSEBD:FUWANGFOOD,FUWANGFOOD,FU-WANG FOODS LTD,1662585000.0,15.0,-1.315789473684206,682091.0,0.6300225937340697,,,0.0,Consumer non-durables
DSEBD:MONNOAGML,MONNOAGML,MONNO AGRO & GENERAL MACHINERY LTD,1653616031.0,375.8,1.3484358144552318,51513.0,1.1647041267601812,185.8555885262117,2.022,0.0,Producer manufacturing
DSEBD:SALVOCHEM,SALVOCHEM,SALVO CHEMICAL INDUSTRY LTD,1651579010.0,25.4,0.0,958605.0,0.7367861671847183,319.09547738693465,0.0796,0.984251968503937,Process industries
DSEBD:RUPALIINS,RUPALIINS,RUPALI INSURANCE CO LTD,1648306377.0,21.5,-0.9216589861751119,239247.0,0.5668566321635998,,,4.65116279069767,Finance
DSEBD:ETL,ETL,EVINCE TEXTILES LTD,1646567963.0,9.0,-2.173913043478253,1206140.0,0.6875693118822944,32.798833819241985,0.2744,2.77777777777778,Process industries
DSEBD:AOL,AOL,ASSOCIATED OXYGEN LTD,1635751724.0,14.9,-0.6666666666666643,108007.0,0.45055349830031366,,,0.0,Process industries
DSEBD:ISLAMIINS,ISLAMIINS,ISLAMI INSURANCE BANGLADESH LTD,1626025974.0,39.5,-1.496259351620951,26818.0,0.4261133876634031,11.325190664602328,3.4878,5.06329113924051,Finance
DSEBD:BDTHAI,BDTHAI,BANGLADESH THAI ALUMINIUM,1622745692.0,12.7,-1.5503875968992331,825159.0,0.7826067905419359,,-1.6602,0.196850393700787,Non-energy minerals
DSEBD:MONNOFABR,MONNOFABR,MONNO FABRICS LTD,1621500000.0,14.1,-1.398601398601406,741255.0,0.762216957205187,151.9396551724138,0.0928,0.709219858156028,Process industries
DSEBD:SILCOPHL,SILCOPHL,SILCO PHARMACEUTICALS LTD,1609008500.0,15.5,1.3071895424836555,1744947.0,2.83793100251616,,,0.645161290322581,Health technology
DSEBD:PEOPLESINS,PEOPLESINS,PEOPLES INSURANCE CO LTD,1603140000.0,34.7,-1.4204545454545454,100067.0,0.19584591453213598,10.800547808764941,3.2128,3.02593659942363,Finance
DSEBD:PARAMOUNT,PARAMOUNT,PARAMOUNT INSURANCE PLC.,1594066721.0,39.2,-1.9999999999999927,55272.0,0.21159921412131527,17.165878437554742,2.2836,2.55102040816326,Finance
DSEBD:EASTLAND,EASTLAND,EASTLAND INSURANCE PLC,1585343340.0,18.9,-1.0471204188481824,69266.0,0.2235623901610089,18.048128342245988,1.0472,5.29100529100529,Finance
DSEBD:MHSML,MHSML,MOZAFFAR HOSSAIN SPINNING MILLS LTD,1575496730.0,15.6,-3.105590062111812,764639.0,0.766631552066977,18.83375588554871,0.8283,1.92307692307692,Process industries
DSEBD:RANFOUNDRY,RANFOUNDRY,RANGPUR FOUNDRY LTD,1573000000.0,157.3,-0.5060088551549544,13623.0,1.2780388956122823,40.47655807729916,3.8862,1.46217418944692,Electronic technology
